"GroupDiv","genus","cat","lakeid","winter_yr","month","season","biomass_wet_weight","biomass_dry_weight","sumSAFA","sumMUFA","sumPUFA","c18.2w6","c18.3w6","c18.3w3","c18.4w3","c18.5w3","c20.4w6","c20.5w3","c22.6w3"
"Cyanophyta","Anabaena","genus","MO",2005,6,"iceoff",0.62495,0.12499,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","MO",2001,10,"iceoff",0.0445,0.0089,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","MO",2008,7,"iceoff",0.41435,0.08287,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","ME",2007,7,"iceoff",0.00575,0.00115,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","MO",1999,9,"iceoff",1.868,0.3736,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","ME",2010,10,"iceoff",0.3371,0.06742,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","ME",2004,6,"iceoff",0.03645,0.00729,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","ME",2010,8,"iceoff",0.170416666666667,0.0340833333333333,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","MO",1995,8,"iceoff",0.13608451,0.027216902,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
"Cyanophyta","Anabaena","genus","MO",2011,7,"iceoff",0.00471163,0.000942326,47.1433556338462,16.4880668476923,31.8224236723077,7.87064852407692,0.262573964461538,23.299556213,0,0,0,0.0311707523076923,0
